TNP ANYEN — PROPOSED EVERYDAY VOCABULARY
Generated: 2026-03-24
Total proposed: 268 words
All words validated against TNP rules (letters, blends, mimicry, duplicates)
Section: anyen (one-to-one English translation)

NOTE FOR REVIEWER:
Each TNP word is mapped to ONE English word (ANYEN rule).
All words pass the 6 TNP rules automatically.
If a word looks wrong or sounds bad, mark it for replacement.
Format per line: TNP_WORD | english_meaning | category

────────────────────────────────────────────────────────────

── GREETING (10 words) ──────────────

MÖBMA        | hello            | greeting
TËÖQ         | goodbye          | greeting
GËWGË        | thanks           | greeting
KUZ          | please           | greeting
GÖRQÖ        | sorry            | greeting
BÖGQI        | welcome          | greeting
WÖYNÖ        | yes              | greeting
ÖTËC         | no               | greeting
IGËW         | maybe            | greeting
NËZË         | ok               | greeting

── VERB (100 words) ──────────────

KUK          | say              | verb
DÖGAQ        | ask              | verb
CËYËY        | tell             | verb
QOBMA        | reply            | verb
KIGBÖ        | listen           | verb
ZÖD          | hear             | verb
QËËG         | see              | verb
TÖWCU        | read             | verb
MÖKRU        | write            | verb
DËCGA        | think            | verb
KOTÖD        | know             | verb
ZAQ          | learn            | verb
IQAFI        | remember         | verb
WËWÖL        | forget           | verb
ÖTËQ         | understand       | verb
QURËD        | want             | verb
AYÖLA        | need             | verb
QËWWO        | like             | verb
MËF          | love             | verb
WËWI         | hate             | verb
QËG          | feel             | verb
KÖTÖK        | believe          | verb
TIFÖQ        | agree            | verb
LUKDA        | disagree         | verb
QITIN        | choose           | verb
CÖZA         | decide           | verb
ÖZËL         | try              | verb
URËQ         | do               | verb
MUYYË        | make             | verb
BËNYO        | use              | verb
BIKUW        | take             | verb
TËYQÖ        | give             | verb
YÖYMO        | get              | verb
ÖZÖL         | put              | verb
NËFÖ         | find             | verb
QIQ          | keep             | verb
DÖGOW        | lose             | verb
WÖWUB        | send             | verb
NËMÖF        | receive          | verb
UZAFU        | share            | verb
QUBËW        | help             | verb
ÖMUFÖ        | work             | verb
YÖYI         | build            | verb
QËGGË        | break            | verb
QIW          | fix              | verb
WIZIK        | open             | verb
QËQI         | close            | verb
RÖCGI        | start            | verb
YONNO        | stop             | verb
ZËD          | continue         | verb
YÖËQ         | wait             | verb
NOBAB        | go               | verb
RÖRGË        | come             | verb
CIQ          | move             | verb
RËYDI        | return           | verb
UKËWÖ        | arrive           | verb
ODÖCÖ        | leave            | verb
ÖMÖF         | follow           | verb
BËZ          | lead             | verb
UQAZA        | meet             | verb
CÖWBU        | join             | verb
ZUFË         | call             | verb
MËZ          | check            | verb
KAKAG        | look             | verb
KAFIC        | watch            | verb
BUZCO        | show             | verb
WËKBË        | hide             | verb
RËZ          | change           | verb
TIZGË        | test             | verb
ILIZË        | vote             | verb
QIWÖZ        | propose          | verb
ÖCAZO        | approve          | verb
AKËZÖ        | reject           | verb
FÖZÖL        | add              | verb
LËYÖK        | remove           | verb
QUQAK        | update           | verb
ZËRNÖ        | confirm          | verb
NIKÖK        | warn             | verb
KËYAB        | report           | verb
TIFIF        | create           | verb
QËY          | delete           | verb
DËYIL        | save             | verb
ÖWAZA        | copy             | verb
UMËQÖ        | count            | verb
OQODÖ        | measure          | verb
